publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,combretaceae,conocarpus,erectus,tree,perennial,"florida, bermuda, the bahamas, the caribbean, central and south america from mexico to brazil on the atlantic coast and mexico to ecuador on the pacific coast, western africa and in melanesia and polynesia",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,conocarpus_erectus,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,62.1,7.5,6,35.4,13.7,6,-2.231632323,0.540840951
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,combretaceae,conocarpus,erectus,tree,perennial,"florida, bermuda, the bahamas, the caribbean, central and south america from mexico to brazil on the atlantic coast and mexico to ecuador on the pacific coast, western africa and in melanesia and polynesia",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,conocarpus_erectus,diaprepes_abbreviatus,biomass,leaves,mass,g,x,sd,83.7,12.9,6,55.4,12.9,6,-2.025044723,0.504200255
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,combretaceae,conocarpus,erectus,tree,perennial,"florida, bermuda, the bahamas, the caribbean, central and south america from mexico to brazil on the atlantic coast and mexico to ecuador on the pacific coast, western africa and in melanesia and polynesia",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,conocarpus_erectus,diaprepes_abbreviatus,biomass,leaves,mass,g,x,sd,129,29.2,6,76.5,21.5,6,-1.890024717,0.482174726
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,combretaceae,conocarpus,erectus,tree,perennial,"florida, bermuda, the bahamas, the caribbean, central and south america from mexico to brazil on the atlantic coast and mexico to ecuador on the pacific coast, western africa and in melanesia and polynesia",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,conocarpus_erectus,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,68.8,11.7,6,48.7,12.7,6,-1.519531452,0.42954066
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,combretaceae,conocarpus,erectus,tree,perennial,"florida, bermuda, the bahamas, the caribbean, central and south america from mexico to brazil on the atlantic coast and mexico to ecuador on the pacific coast, western africa and in melanesia and polynesia",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,conocarpus_erectus,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,78.3,11.4,6,57.3,14,6,-1.518413414,0.429399137
use of a native insect as a biological control for an introduced weed,hydrocharitaceae,vallisneria,americana,forb,perennial,"iraq, china, japan, korea, india, papua new guinea, the philippines, australia, canada, theunited states, mexico, guatemala, honduras, cuba, the dominican republic, haiti and venezuela",coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,vallisneria_americana,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.272,0.044090815,6,0.21,0.036742346,6,-1.410206732,0.416195126
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida in the united states and islands in the caribbean including the bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,97.7,47.4,6,53.1,26.9,6,-1.068273549,0.380883682
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida in the united states and islands in the caribbean including the bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,73.5,34.3,6,44.6,20.4,6,-0.9453455,0.370569921
use of a native insect as a biological control for an introduced weed,hydrocharitaceae,vallisneria,americana,forb,perennial,"iraq, china, japan, korea, india, papua new guinea, the philippines, australia, canada, theunited states, mexico, guatemala, honduras, cuba, the dominican republic, haiti and venezuela",coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,vallisneria_americana,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.272,0.044090815,6,0.198,0.0955301,6,-0.918144001,0.36845785
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida in the united states and islands in the caribbean including the bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,192.1,81.3,6,119.5,65.4,6,-0.908318987,0.367710141
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,leaves,mass,g,x,sd,55.6,28.8,6,32.4,19.6,6,-0.869366883,0.364824949
use of a native insect as a biological control for an introduced weed,haloragaceae,myriophyllum,sibricum,forb,perennial,"russia,china,north america",coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 3,native,native,no,a,2 weevils,myriophyllum_sibricum,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.083,0.036742346,6,0.116,0.034292856,6,0.857136834,0.363945148
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida in the united states and islands in the caribbean including the bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,108.6,49.9,6,68.4,36.4,6,-0.84963693,0.363411788
use of a native insect as a biological control for an introduced weed,ceratophyllaceae,ceratophyllum,demersum,forb,perennial,cosmopolitan,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,ceratophyllum_demersum,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.212,0.100429079,6,0.154,0.053888774,6,-0.664318443,0.351721625
use of a native insect as a biological control for an introduced weed,hydrocharitaceae,elodea,canadensis,forb,perennial,most of north america,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,elodea_canadensis,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.034,0.019595918,6,0.062,0.061237244,6,0.56849374,0.346799381
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,annonaceae,annona,glabra,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,leaves,mass,g,x,sd,38.5,8.8,6,32.8,11.9,6,-0.502754676,0.343865094
use of a native insect as a biological control for an introduced weed,hydrocharitaceae,najas,flexilis,forb,annual,most of canada and northern us,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,najas_flexilis,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.153,0.036742346,6,0.188,0.085732141,6,0.489847967,0.343331293
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,annonaceae,annona,glabra,tree,perennial,"florida in the united states, the caribbean, central and south america, and west africa",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,13.4,9.7,6,9.7,4.1,6,-0.458657862,0.342098626
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,annonaceae,annona,glabra,tree,perennial,"florida in the united states, the caribbean, central and south america, and west africa",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,16.8,16.4,6,11.5,5,6,-0.40353819,0.340118461
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,annonaceae,annona,glabra,tree,perennial,"florida in the united states, the caribbean, central and south america, and west africa",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,16.8,16.4,6,11.5,5,6,-0.40353819,0.340118461
use of a native insect as a biological control for an introduced weed,haloragaceae,myriophyllum,sibricum,forb,perennial,"russia,china,north america",coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 3,native,native,no,a,4 weevils,myriophyllum_sibricum,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.083,0.036742346,6,0.101,0.048989795,6,0.383715871,0.339468245
use of a native insect as a biological control for an introduced weed,potamogetonaceae,potamogeton,amplifolius,forb,perennial,north america,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,potamogeton_amplifolius,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.439,0.144519895,6,0.501,0.18861071,6,0.340623137,0.338167672
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,whole organism,mass,g,x,sd,254.4,74.6,6,229,65.5,6,-0.334002148,0.33798156
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,annonaceae,annona,glabra,tree,perennial,"florida in the united states, the caribbean, central and south america, and west africa",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,leaves,mass,g,x,sd,3.6,2.5,6,2.9,1.3,6,-0.324295319,0.337715311
use of a native insect as a biological control for an introduced weed,potamogetonaceae,potamogeton,amplifolius,forb,perennial,north america,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,potamogeton_amplifolius,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.439,0.144519895,6,0.51,0.2865903,6,0.288768933,0.336807812
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,annonaceae,annona,glabra,tree,perennial,"florida in the united states, the caribbean, central and south america, and west africa",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,17.7,17.7,6,13.5,7,6,-0.288054065,0.336790631
effects of herbivory by diaprepes abbreviatus (coleoptera: curculionidae) larvae on four woody ornamental plant species??/?f=,annonaceae,annona,glabra,tree,perennial,"florida in the united states, the caribbean, central and south america, and west africa",coleoptera,curculionidae,diaprepes,abbreviatus,unclear,polyphagous,caribbean,larval,chemical,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,leaves,mass,g,x,sd,14.3,13.2,6,11.5,5.7,6,-0.254219682,0.336026152
use of a native insect as a biological control for an introduced weed,lentibulariaceae,utricularia,macrorhiza,forb,perennial,north america and eastern temperate asia,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,utricularia_macrorhiza,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.145,0,6,0.158,0.073484692,6,0.230940108,0.335555556
use of a native insect as a biological control for an introduced weed,asteraceae,megalodonta,beckii,forb,perennial,canada and northern us,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,megalodonta_beckii,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.229,0.075934182,6,0.249,0.09308061,6,0.217345034,0.335301619
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,annonaceae,annona,glabra,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,whole organism,mass,g,x,sd,229.4,43.2,6,219.3,43.2,6,-0.215811966,0.33527395
use of a native insect as a biological control for an introduced weed,hydrocharitaceae,elodea,canadensis,forb,perennial,most of north america,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,elodea_canadensis,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.034,0.019595918,6,0.029,0.024494897,6,-0.208077608,0.335137345
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,annonaceae,annona,glabra,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,135.9,26.2,6,131.1,27.2,6,-0.165917323,0.334480357
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,stem,mass,g,x,sd,143.7,31.6,6,138.2,35.5,6,-0.151069131,0.334284245
use of a native insect as a biological control for an introduced weed,pontederiaceae,heteranthera,dubia,forb,perennial,canada and northern us,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,heteranthera_dubia,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.657,0.139620915,6,0.624,0.262095402,6,-0.145064814,0.334210158
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,meliaceae,swietenia,mahagoni,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,swietenia_mahagoni,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,55,20.5,6,58.4,23.1,6,0.143710827,0.334193867
use of a native insect as a biological control for an introduced weed,pontederiaceae,heteranthera,dubia,forb,perennial,canada and northern us,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,heteranthera_dubia,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.657,0.139620915,6,0.673,0.142070405,6,0.104857135,0.333791459
use of a native insect as a biological control for an introduced weed,lentibulariaceae,utricularia,macrorhiza,forb,perennial,north america and eastern temperate asia,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,utricularia_macrorhiza,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.145,0,6,0.15,0.075934182,6,0.085957856,0.333641198
use of a native insect as a biological control for an introduced weed,ceratophyllaceae,ceratophyllum,demersum,forb,perennial,cosmopolitan,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,2 weevils,ceratophyllum_demersum,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.212,0.100429079,6,0.219,0.039191836,6,0.084763815,0.333632704
use of a native insect as a biological control for an introduced weed,hydrocharitaceae,najas,flexilis,forb,annual,most of canada and northern us,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,najas_flexilis,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.153,0.036742346,6,0.149,0.061237244,6,-0.073118588,0.333556097
use of a native insect as a biological control for an introduced weed,asteraceae,megalodonta,beckii,forb,perennial,canada and northern us,coleoptera,curculionidae,euhrychiopsis,lecontei,unclear,polyphagous,eastern and central united states and western canada,adult,cage,figure 2,native,native,no,a,4 weevils,megalodonta_beckii,euhrychiopsis_lecontei,biomass,whole organism,mass,g,x,sd,0.229,0.075934182,6,0.232,0.022045408,6,0.049529582,0.333435549
leaf gas exchange and damage of mahogany and pond apple trees from adult diaprepes abbreviatus (coleoptera: curculionidae) feeding and soil flooding=,annonaceae,annona,glabra,tree,perennial,"southern florida, bahamas, cuba, jamaica, dominican republic and haiti",coleoptera,curculionidae,diaprepes,abbreviatus,both,polyphagous,caribbean,both,cage,table 1,native,native,no,a,,annona_glabra,diaprepes_abbreviatus,biomass,roots,mass,g,x,sd,55,13.7,6,55.4,10.3,6,0.030465041,0.333372005
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_alliariae,length,stem,length,m,x,sd,0.57486,0.067723187,12,0.46536,0.10839174,12,-1.169841255,0.195177678
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_roberti,number of,flower,count,count,x,sd,81.528,21.16912497,12,117.917,38.48963305,12,1.131132136,0.193322081
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_roberti,number of,flower,count,count,x,sd,81.528,21.16912497,12,121.528,44.26429044,12,1.113154764,0.192481532
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_alliariae,number of,seed,count,count,x,sd,2633.323,731.306492,12,1533.327,1462.616448,12,-0.918503643,0.184242686
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_roberti,length,stem,length,m,x,sd,0.57486,0.067723187,12,0.48492,0.121901736,12,-0.880658642,0.182824159
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_alliariae,biomass,whole organism,mass,g,x,sd,31.955,5.417854926,12,25.251,9.675235811,12,-0.825507857,0.180863817
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_roberti,biomass,whole organism,mass,g,x,sd,31.955,5.417854926,12,35.419,5.805834307,12,0.595625052,0.174057692
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_roberti,biomass,whole organism,mass,g,x,sd,31.955,5.417854926,12,28.38,6.190349586,12,-0.593391747,0.17400237
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_alliariae,number of,flower,count,count,x,sd,81.528,21.16912497,12,102.639,51.96152423,12,0.51375656,0.172165538
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_roberti,length,stem,length,m,x,sd,0.57486,0.067723187,12,0.53184,0.094847102,12,-0.504030868,0.171959315
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_alliariae,length,stem,length,m,x,sd,0.57486,0.067723187,12,0.5162,0.149025651,12,-0.48931621,0.171654799
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_roberti,number of,flower,count,count,x,sd,81.528,21.16912497,12,102.361,54.84712087,12,0.483858873,0.171544154
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_alliariae,biomass,whole organism,mass,g,x,sd,31.955,5.417854926,12,28.38,10.83570985,12,-0.402938443,0.170049154
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_roberti,number of,seed,count,count,x,sd,2633.323,731.306492,12,2222.213,1231.675186,12,-0.391888097,0.169866173
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_alliariae,number of,seed,count,count,x,sd,2633.323,731.306492,12,2244.435,1231.67865,12,-0.37070434,0.169529619
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_roberti,number of,seed,count,count,x,sd,2633.323,731.306492,12,2199.991,1462.616448,12,-0.361834971,0.169394261
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,roberti,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,4 pairs,alliaria_petiolata,ceutorhynchus_roberti,number of,seed,count,count,x,sd,2633.323,731.306492,12,3199.987,2155.433307,12,0.339943195,0.169074195
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,8 pairs,alliaria_petiolata,ceutorhynchus_alliariae,number of,flower,count,count,x,sd,81.528,21.16912497,12,98.75,76.97926609,12,0.294547035,0.168474124
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_alliariae,length,stem,length,m,x,sd,0.57486,0.067723187,12,0.55531,0.081267824,12,-0.252341973,0.16799326
pre-release impact assessment of two stem-boring weevils proposed as biological control agents for alliaria petiolata?,brassicaceae,alliaria,petiolata,forb,bi-annual,much of europe and western asia,coleoptera,curculionidae,ceutorhynchus,alliariae,both,monophagous,central europe,both,cage,figure 2,native,native,no,a,2 pairs,alliaria_petiolata,ceutorhynchus_alliariae,number of,seed,count,count,x,sd,2633.323,731.306492,12,3044.432,2155.433307,12,0.246625349,0.167933835
